Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,heat_off_slab_temp,Call
2022-02-27 09:45:46,5.7,28.2,25.3,19.0,5.7,22.7,19.7,25.4,0,25.4,0
2022-02-27 09:51:00,4.2,27.9,25.1,19.2,5.0,23.0,20.0,25.2,1,25.4,0
2022-02-27 09:56:14,4.2,27.4,25.0,19.3,4.7,23.1,20.1,25.0,2,25.4,0
2022-02-27 10:01:29,4.4,27.0,24.8,19.4,4.6,23.1,20.1,24.9,3,25.4,0
2022-02-27 10:06:46,4.5,26.7,24.6,19.4,4.6,23.2,20.2,24.7,4,25.4,0
2022-02-27 10:12:01,4.5,26.3,24.5,19.5,4.6,23.2,20.2,24.5,5,25.4,0
2022-02-27 10:17:19,4.6,26.0,24.3,19.6,4.6,23.2,20.2,24.4,6,25.4,0
2022-02-27 10:22:35,4.7,25.7,24.1,19.6,4.6,23.2,20.2,24.2,7,25.4,0
2022-02-27 10:28:19,4.9,25.4,23.9,19.6,4.6,23.1,20.1,24.1,8,25.4,0
2022-02-27 10:33:48,4.9,25.1,23.8,19.6,4.7,23.1,20.1,23.9,9,25.4,0
2022-02-27 10:39:17,4.9,24.9,23.6,19.6,4.7,23.1,20.1,23.8,10,25.4,0
2022-02-27 10:44:44,5.2,24.6,23.4,19.6,4.7,23.1,20.1,23.6,11,25.4,0
2022-02-27 10:50:10,5.2,24.4,23.2,19.5,4.8,23.1,20.1,23.5,12,25.4,0
2022-02-27 10:55:30,5.2,24.2,23.0,19.4,4.8,23.1,20.1,23.3,13,25.4,0
2022-02-27 11:00:53,5.5,24.0,22.9,19.5,4.8,23.1,20.1,23.2,14,25.4,0
2022-02-27 11:06:10,5.4,23.8,22.7,19.5,4.9,23.0,20.0,23.0,15,25.4,0
2022-02-27 11:11:30,5.8,23.6,22.6,19.6,4.9,23.0,20.0,22.9,16,25.4,0
2022-02-27 11:16:50,6.0,23.5,22.4,19.7,5.0,23.0,20.0,22.8,17,25.4,0
2022-02-27 11:22:05,5.9,23.3,22.3,19.6,5.0,23.0,20.0,22.6,18,25.4,0
2022-02-27 11:27:20,5.9,23.0,22.1,19.4,5.1,23.0,20.0,22.5,19,25.4,0
2022-02-27 11:32:36,6.1,22.9,21.9,19.5,5.1,22.9,19.9,22.4,20,25.4,0
2022-02-27 11:37:55,6.3,22.7,21.8,19.7,5.2,22.9,19.9,22.2,21,25.4,0
2022-02-27 11:43:12,6.4,22.5,21.7,19.9,5.2,22.9,19.9,22.1,22,25.4,0
2022-02-27 11:48:28,6.5,22.3,21.5,19.9,5.3,22.9,19.9,22.0,23,25.4,0
2022-02-27 11:54:00,6.5,22.1,21.4,19.9,5.3,22.9,19.9,21.8,24,25.4,0
2022-02-27 11:59:47,6.6,21.9,21.2,20.0,5.4,22.8,19.8,21.7,25,25.4,0
2022-02-27 12:05:24,6.8,21.7,21.0,19.8,5.4,22.8,19.8,21.6,26,25.4,0
2022-02-27 12:10:53,6.8,21.5,20.9,19.9,5.5,22.8,19.8,21.5,27,25.4,0
2022-02-27 12:16:20,6.9,21.3,20.8,19.9,5.5,22.8,19.8,21.4,28,25.4,0
2022-02-27 12:21:45,7.0,21.2,20.7,19.9,5.6,22.8,19.8,21.3,29,25.4,0
2022-02-27 12:27:07,7.1,21.1,20.6,20.0,5.6,22.7,19.7,21.2,30,25.4,0
2022-02-27 12:32:21,7.2,21.0,20.5,19.8,5.7,22.7,19.7,21.0,31,25.4,0
2022-02-27 12:37:54,7.2,20.8,20.4,19.4,5.7,22.7,19.7,20.9,32,25.4,0
2022-02-27 12:43:08,7.3,20.7,20.3,19.0,5.8,22.7,19.7,20.8,33,25.4,0
2022-02-27 12:48:22,7.6,20.6,20.1,19.4,5.8,22.7,19.7,20.7,34,25.4,0
2022-02-27 12:53:37,7.6,20.5,20.0,19.9,5.9,22.6,19.6,20.6,35,25.4,0
2022-02-27 12:58:51,7.5,20.4,19.9,20.0,5.9,22.6,19.6,20.5,36,25.4,0
2022-02-27 13:04:05,7.6,20.3,19.8,20.1,6.0,22.6,19.6,20.4,37,25.4,0
2022-02-27 13:09:19,7.7,20.2,19.7,20.1,6.0,22.6,19.6,20.3,38,25.4,0
2022-02-27 13:14:33,7.8,20.1,19.6,20.1,6.1,22.6,19.6,20.2,39,25.4,0
2022-02-27 13:19:47,7.8,20.0,19.5,20.0,6.1,22.6,19.6,20.2,40,25.4,0
2022-02-27 13:25:02,7.9,19.9,19.5,20.0,6.1,22.5,19.5,20.1,41,25.4,0
2022-02-27 13:30:16,8.0,19.8,19.4,19.9,6.2,22.5,19.5,20.0,42,25.4,0
2022-02-27 13:35:30,8.0,19.8,19.3,20.0,6.2,22.5,19.5,19.9,43,25.4,0
2022-02-27 13:40:44,7.9,19.7,19.2,20.0,6.3,22.5,19.5,19.8,44,25.4,0
2022-02-27 13:45:58,8.0,19.6,19.2,19.9,6.3,22.5,19.5,19.7,45,25.4,0
2022-02-27 13:51:12,8.0,19.5,19.1,19.9,6.3,22.5,19.5,19.7,46,25.4,0
2022-02-27 13:56:26,8.0,19.5,19.0,20.0,6.4,22.4,19.4,19.6,47,25.4,0
2022-02-27 14:01:41,8.1,19.4,19.0,20.0,6.4,22.4,19.4,19.5,48,25.4,0
2022-02-27 14:06:55,8.2,19.3,18.9,19.8,6.4,22.4,19.4,19.4,49,25.4,0
2022-02-27 14:12:09,8.1,19.3,18.8,19.5,6.5,22.4,19.4,19.4,-1,25.4,1
2022-02-27 14:17:24,8.2,19.2,18.8,19.7,6.5,22.4,19.4,25.4,0,25.4,1
2022-02-27 14:22:38,8.2,19.1,18.7,19.6,6.5,22.4,19.4,25.2,1,25.4,1
2022-02-27 14:27:52,8.3,19.1,18.6,19.5,6.6,22.4,19.4,25.0,2,25.4,1
2022-02-27 14:33:07,8.5,19.0,18.6,19.4,6.6,22.4,19.4,24.9,3,25.4,1
2022-02-27 14:38:21,8.5,18.9,18.5,19.3,6.6,22.3,19.3,24.7,4,25.4,1
2022-02-27 14:43:35,8.6,18.9,18.5,19.4,6.7,22.3,19.3,24.5,5,25.4,1
2022-02-27 14:48:49,8.6,18.8,18.5,19.4,6.7,22.3,19.3,24.4,6,25.4,1
2022-02-27 14:54:04,8.6,18.8,18.4,19.4,6.7,22.3,19.3,24.2,7,25.4,1
2022-02-27 14:59:36,8.6,18.7,18.4,19.4,6.8,22.3,19.3,24.1,8,25.4,1
2022-02-27 15:04:57,8.6,19.4,17.6,19.4,6.8,22.3,19.3,23.9,9,25.4,1
2022-02-27 15:10:11,8.6,20.7,16.4,19.3,6.8,22.3,19.3,23.8,10,25.4,1
2022-02-27 15:15:25,8.6,19.2,16.5,19.2,6.9,22.3,19.3,23.6,11,25.4,1
2022-02-27 15:20:39,8.5,18.9,16.6,19.0,6.9,22.2,19.2,23.5,12,25.4,1
2022-02-27 15:25:53,8.5,18.6,16.6,18.6,6.9,22.2,19.2,23.3,13,25.4,1
2022-02-27 15:31:08,8.6,18.4,16.6,18.0,6.9,22.2,19.2,23.2,14,25.4,1
2022-02-27 15:36:22,8.4,18.3,16.6,17.6,7.0,22.2,19.2,23.0,15,25.4,1
2022-02-27 15:41:36,8.4,18.2,16.7,17.2,7.0,22.2,19.2,22.9,16,25.4,1
2022-02-27 15:46:50,8.4,18.1,16.7,16.9,7.0,22.2,19.2,22.8,17,25.4,1
2022-02-27 15:52:04,8.4,18.1,16.7,16.8,7.0,22.2,19.2,22.6,18,25.4,1
2022-02-27 15:57:18,8.4,18.0,16.7,16.8,7.0,22.2,19.2,22.5,19,25.4,1
2022-02-27 16:02:33,8.4,18.0,16.7,16.6,7.1,22.2,19.2,22.4,20,25.4,1
2022-02-27 16:07:47,8.4,17.9,16.7,16.5,7.1,22.2,19.2,22.2,21,25.4,1
2022-02-27 16:13:01,8.4,17.9,16.7,16.5,7.2,22.1,19.1,22.1,22,25.4,1
