Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,Call
2022-04-01 20:10:35,3.8,20.1,18.2,24.9,3.8,21.1,18.1,17.9,0,0
2022-04-01 20:15:49,3.7,28.5,19.8,25.3,3.7,21.1,18.1,17.7,1,0
2022-04-01 20:21:03,3.6,29.0,19.9,25.6,3.7,21.1,18.1,17.6,2,0
2022-04-01 20:26:18,3.6,27.2,19.7,25.5,3.7,21.2,18.2,17.4,3,0
2022-04-01 20:31:32,3.5,25.6,19.5,25.6,3.7,21.2,18.2,17.3,4,0
2022-04-01 20:36:46,3.7,24.3,19.3,25.4,3.7,21.2,18.2,17.2,5,0
2022-04-01 20:42:00,3.7,23.2,19.1,25.0,3.7,21.2,18.2,17.0,6,0
2022-04-01 20:47:15,3.6,22.2,18.8,25.2,3.7,21.2,18.2,16.9,-1,1
2022-04-01 20:52:29,3.6,21.6,18.7,25.6,3.6,21.2,18.2,18.7,0,1
2022-04-01 20:57:43,3.8,24.6,19.1,26.2,3.7,21.2,18.2,19.1,1,1
2022-04-01 21:02:57,3.8,24.5,19.2,26.2,3.7,21.2,18.2,19.2,2,1
2022-04-01 21:08:11,3.6,23.5,19.1,26.1,3.7,21.2,18.2,19.1,3,1
2022-04-01 21:13:25,3.4,22.5,18.9,25.7,3.6,21.2,18.2,18.9,4,1
2022-04-01 21:18:40,3.0,21.7,18.7,25.6,3.6,21.2,18.2,18.7,5,1
2022-04-01 21:23:54,2.9,25.8,19.5,25.3,3.5,21.2,18.2,19.5,6,1
2022-04-01 21:29:08,2.9,33.8,20.7,25.2,3.5,21.2,18.2,20.7,7,1
2022-04-01 21:34:22,2.8,36.8,21.2,24.7,3.5,21.3,18.3,21.2,8,1
2022-04-01 21:39:36,2.9,37.7,21.5,24.5,3.4,21.3,18.3,21.5,-1,0
2022-04-01 21:44:51,2.7,32.5,21.5,24.2,3.4,21.3,18.3,21.3,0,0
2022-04-01 21:50:05,2.4,28.7,21.3,23.8,3.3,21.3,18.3,21.1,1,0
2022-04-01 21:55:19,2.2,26.8,21.0,23.3,3.3,21.4,18.4,20.9,2,0
2022-04-01 22:00:33,2.1,25.3,20.6,23.0,3.2,21.4,18.4,20.7,3,0
2022-04-01 22:05:47,2.1,24.0,20.2,23.0,3.2,21.4,18.4,20.6,4,0
2022-04-01 22:11:02,2.0,23.0,19.9,23.0,3.1,21.4,18.4,20.4,5,0
2022-04-01 22:16:18,1.9,22.5,19.7,22.8,3.1,21.5,18.5,20.2,6,0
2022-04-01 22:21:32,1.9,22.2,19.6,23.1,3.0,21.5,18.5,20.1,7,0
2022-04-01 22:26:46,1.6,21.8,19.4,23.5,3.0,21.5,18.5,19.9,8,0
2022-04-01 22:32:00,1.7,21.3,19.3,23.5,2.9,21.5,18.5,19.7,9,0
2022-04-01 22:37:14,1.7,20.8,19.1,23.4,2.9,21.6,18.6,19.5,10,0
2022-04-01 22:42:28,1.6,20.5,18.8,23.2,2.9,21.6,18.6,19.4,11,0
2022-04-01 22:47:43,1.7,20.3,18.7,23.0,2.8,21.6,18.6,19.2,12,0
2022-04-01 22:52:57,1.8,20.2,18.6,22.8,2.8,21.6,18.6,19.0,13,0
2022-04-01 22:58:11,1.5,20.2,18.5,22.6,2.7,21.6,18.6,18.9,14,0
2022-04-01 23:03:25,1.4,20.2,18.5,22.4,2.7,21.6,18.6,18.7,15,0
2022-04-01 23:08:39,1.1,20.1,18.4,22.2,2.7,21.7,18.7,18.6,-1,1
2022-04-01 23:13:53,1.0,19.9,18.3,22.0,2.6,21.7,18.7,18.3,0,1
2022-04-01 23:19:08,1.0,19.5,18.2,21.9,2.6,21.7,18.7,18.2,1,1
