Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,heat_off_slab_temp,Call
2022-02-28 07:59:08,6.8,26.4,23.3,18.6,6.8,22.3,19.3,23.2,0,23.2,0
2022-02-28 08:04:22,6.9,26.4,23.3,18.6,6.8,22.3,19.3,23.1,1,23.2,0
2022-02-28 08:09:37,7.0,26.4,23.5,18.4,6.9,22.2,19.2,22.9,2,23.2,0
2022-02-28 08:14:51,7.0,26.4,23.6,18.3,6.9,22.2,19.2,22.7,3,23.2,0
2022-02-28 08:20:10,7.1,26.4,23.6,18.3,7.0,22.2,19.2,22.6,4,23.2,0
2022-02-28 08:25:24,7.1,26.6,23.6,18.4,7.0,22.2,19.2,22.4,5,23.2,0
2022-02-28 08:30:38,7.0,26.9,23.7,18.2,7.0,22.2,19.2,22.3,6,23.2,0
2022-02-28 08:35:52,7.0,27.0,23.8,18.2,7.0,22.2,19.2,22.1,7,23.2,0
2022-02-28 08:41:07,7.0,27.1,23.9,18.1,7.0,22.2,19.2,21.9,8,23.2,0
2022-02-28 08:46:21,7.0,27.1,24.0,18.2,7.0,22.2,19.2,21.8,9,23.2,0
2022-02-28 08:51:35,7.1,27.1,24.1,18.1,7.0,22.2,19.2,21.6,10,23.2,0
2022-02-28 08:56:49,7.2,27.1,24.1,18.2,7.0,22.2,19.2,21.5,11,23.2,0
2022-02-28 09:02:03,7.2,27.3,24.2,18.2,7.0,22.2,19.2,21.3,12,23.2,0
2022-02-28 09:07:18,7.2,27.5,24.2,18.2,7.0,22.2,19.2,21.2,13,23.2,0
2022-02-28 09:12:32,7.4,27.6,24.3,18.2,7.1,22.2,19.2,21.1,14,23.2,0
2022-02-28 09:17:46,7.5,27.4,24.3,18.1,7.1,22.2,19.2,20.9,15,23.2,0
2022-02-28 09:23:00,7.6,27.3,24.5,18.2,7.1,22.1,19.1,20.8,16,23.2,0
2022-02-28 09:28:14,7.7,27.3,24.5,18.3,7.2,22.1,19.1,20.6,17,23.2,0
2022-02-28 09:33:29,7.7,27.4,24.6,18.3,7.2,22.1,19.1,20.5,18,23.2,0
2022-02-28 09:38:43,7.8,27.6,24.6,18.3,7.2,22.1,19.1,20.4,19,23.2,0
2022-02-28 09:43:57,7.8,27.8,24.5,18.3,7.2,22.1,19.1,20.2,20,23.2,0
2022-02-28 09:49:11,7.9,27.7,24.5,18.2,7.3,22.1,19.1,20.1,21,23.2,0
2022-02-28 09:54:25,7.9,27.5,24.5,18.2,7.3,22.1,19.1,20.0,22,23.2,0
2022-02-28 09:59:40,8.0,27.2,24.6,18.3,7.3,22.1,19.1,19.8,23,23.2,0
2022-02-28 10:04:54,8.1,27.0,24.7,18.3,7.4,22.1,19.1,19.7,24,23.2,0
2022-02-28 10:10:08,8.2,27.1,24.7,18.3,7.4,22.0,19.0,19.6,25,23.2,0
2022-02-28 10:15:22,8.4,27.3,24.7,18.4,7.4,22.0,19.0,19.5,26,23.2,0
2022-02-28 10:20:36,8.7,27.6,24.7,18.4,7.5,22.0,19.0,19.4,27,23.2,0
2022-02-28 10:25:50,8.9,27.8,24.7,18.3,7.5,22.0,19.0,19.3,28,23.2,0
2022-02-28 10:31:04,8.9,27.7,24.7,18.3,7.6,22.0,19.0,19.1,29,23.2,0
2022-02-28 10:36:19,9.1,27.5,24.8,18.4,7.6,22.0,19.0,19.0,30,23.2,0
2022-02-28 10:41:33,9.4,27.3,24.8,18.5,7.7,21.9,18.9,18.9,-1,23.2,1
2022-02-28 10:46:47,9.4,28.2,24.5,18.5,7.7,21.9,18.9,23.2,0,23.2,1
2022-02-28 10:52:01,9.6,32.9,21.3,18.6,7.8,21.9,18.9,23.1,1,23.2,1
