Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,heat_off_slab_temp,Call
2022-01-25 21:05:52,3.1,23.7,21.0,22.6,3.1,23.8,20.8,20.9,0,20.9,0
2022-01-25 21:11:20,3.1,24.2,21.1,23.1,3.1,23.8,20.8,20.8,1,20.9,0
2022-01-25 21:16:48,3.1,24.6,21.2,23.3,3.1,23.8,20.8,20.6,2,20.9,0
2022-01-25 21:22:16,3.1,24.9,21.3,23.3,3.1,23.8,20.8,20.4,3,20.9,0
2022-01-25 21:27:44,3.0,25.0,21.3,23.3,3.1,23.8,20.8,20.3,4,20.9,0
2022-01-25 21:33:12,3.0,25.1,21.4,23.3,3.1,23.8,20.8,20.1,5,20.9,0
2022-01-25 21:38:41,3.0,25.3,21.4,23.2,3.1,23.8,20.8,19.9,6,20.9,0
2022-01-25 21:44:09,3.1,25.4,21.5,23.0,3.1,23.8,20.8,19.8,-1,20.9,1
2022-01-25 21:49:37,3.1,27.0,21.6,22.6,3.1,23.8,20.8,20.9,0,20.9,1
2022-01-25 21:55:05,3.1,31.6,20.2,22.5,3.1,23.8,20.8,20.8,1,20.9,1
2022-01-25 22:00:33,3.1,29.7,19.9,22.4,3.1,23.8,20.8,20.6,2,20.9,1
2022-01-25 22:06:01,3.1,27.5,20.0,22.3,3.1,23.8,20.8,20.4,3,20.9,1
2022-01-25 22:11:28,3.2,33.0,20.2,22.4,3.1,23.8,20.8,20.3,4,20.9,1
2022-01-25 22:16:56,3.3,29.9,20.4,22.4,3.1,23.8,20.8,20.1,5,20.9,1
2022-01-25 22:22:24,3.3,34.0,20.5,22.2,3.1,23.7,20.7,19.9,6,20.9,1
2022-01-25 22:27:52,3.4,29.6,20.5,22.2,3.1,23.7,20.7,19.8,7,20.9,1
2022-01-25 22:33:21,3.4,26.7,20.3,22.3,3.2,23.7,20.7,19.6,8,20.9,1
2022-01-25 22:38:49,3.4,31.4,20.4,22.4,3.2,23.7,20.7,19.5,9,20.9,1
2022-01-25 22:44:17,3.4,36.2,20.7,22.4,3.2,23.7,20.7,19.3,10,20.9,1
2022-01-25 22:49:45,3.4,37.3,20.9,22.3,3.2,23.7,20.7,19.2,11,20.9,1
2022-01-25 22:55:13,3.4,32.3,21.0,22.2,3.2,23.7,20.7,19.0,12,20.9,1
2022-01-25 23:00:41,3.4,31.1,20.9,22.1,3.2,23.7,20.7,18.9,13,20.9,1
2022-01-25 23:06:09,3.4,33.9,21.1,22.0,3.2,23.7,20.7,18.7,14,20.9,1
2022-01-25 23:11:37,3.4,31.9,21.0,21.9,3.2,23.7,20.7,18.6,15,20.9,1
2022-01-25 23:17:05,3.4,33.0,21.1,21.8,3.2,23.7,20.7,18.5,16,20.9,1
2022-01-25 23:22:33,3.4,39.0,21.3,21.7,3.2,23.7,20.7,18.3,17,20.9,1
2022-01-25 23:28:01,3.3,39.5,21.4,21.6,3.2,23.7,20.7,18.2,18,20.9,1
2022-01-25 23:33:29,3.4,35.1,21.5,21.5,3.3,23.7,20.7,18.0,19,20.9,1
2022-01-25 23:38:57,3.4,30.2,21.5,21.4,3.3,23.7,20.7,17.9,20,20.9,1
2022-01-25 23:44:25,3.4,34.5,21.4,21.3,3.3,23.7,20.7,17.8,21,20.9,1
2022-01-25 23:49:53,3.4,31.9,21.4,21.1,3.3,23.7,20.7,17.7,22,20.9,1
2022-01-25 23:55:21,3.4,34.4,21.6,21.0,3.3,23.7,20.7,17.5,23,20.9,1
