Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,heat_off_slab_temp,Call
2021-12-20 22:13:38,3.7,24.8,21.0,20.8,3.7,23.5,20.5,21.1,0,21.1,0
2021-12-20 22:19:13,3.7,24.9,21.1,20.6,3.7,23.5,20.5,20.9,1,21.1,0
2021-12-20 22:24:48,3.7,24.9,21.1,20.4,3.7,23.5,20.5,20.7,2,21.1,0
2021-12-20 22:30:23,3.7,24.9,21.1,20.2,3.7,23.5,20.5,20.6,3,21.1,0
2021-12-20 22:35:59,3.7,25.1,21.1,20.1,3.7,23.5,20.5,20.4,4,21.1,0
2021-12-20 22:41:34,3.7,25.3,21.1,20.0,3.7,23.5,20.5,20.2,5,21.1,0
2021-12-20 22:47:09,3.7,25.5,21.2,19.9,3.7,23.5,20.5,20.1,6,21.1,0
2021-12-20 22:52:44,3.7,25.7,21.2,19.9,3.7,23.5,20.5,19.9,-1,21.1,1
2021-12-20 22:58:19,3.7,27.6,21.5,19.8,3.7,23.5,20.5,21.1,0,21.1,1
2021-12-20 23:03:55,3.6,33.4,21.7,19.7,3.7,23.5,20.5,20.9,1,21.1,1
2021-12-20 23:09:30,3.6,31.3,22.0,19.6,3.7,23.5,20.5,20.7,2,21.1,1
2021-12-20 23:15:05,3.6,36.3,22.3,19.6,3.7,23.5,20.5,20.6,3,21.1,1
2021-12-20 23:20:40,3.6,39.0,22.6,19.5,3.7,23.5,20.5,20.4,4,21.1,1
2021-12-20 23:26:16,3.6,35.8,22.6,19.4,3.7,23.5,20.5,20.2,5,21.1,1
2021-12-20 23:31:51,3.6,31.5,22.7,19.4,3.7,23.5,20.5,20.1,6,21.1,1
2021-12-20 23:37:26,3.6,35.0,22.8,19.3,3.7,23.5,20.5,19.9,7,21.1,1
2021-12-20 23:43:01,3.6,34.9,22.9,19.3,3.7,23.5,20.5,19.8,8,21.1,1
2021-12-20 23:48:36,3.6,36.6,22.9,19.2,3.7,23.5,20.5,19.6,9,21.1,1
2021-12-20 23:54:12,3.6,37.7,23.0,19.2,3.7,23.5,20.5,19.4,10,21.1,1
2021-12-20 23:59:47,3.6,36.9,23.1,19.1,3.7,23.5,20.5,19.3,11,21.1,1
2021-12-21 00:05:22,3.6,34.0,23.1,19.1,3.7,23.5,20.5,19.2,12,21.1,1
2021-12-21 00:10:57,3.6,32.8,23.2,19.0,3.7,23.5,20.5,19.0,13,21.1,1
2021-12-21 00:16:33,3.6,34.9,23.3,18.9,3.7,23.5,20.5,18.9,14,21.1,1
2021-12-21 00:22:08,3.6,33.1,23.3,18.9,3.7,23.5,20.5,18.7,15,21.1,1
2021-12-21 00:27:43,3.6,36.0,23.3,18.9,3.7,23.5,20.5,18.6,16,21.1,1
2021-12-21 00:33:18,3.6,36.7,23.4,18.9,3.6,23.5,20.5,18.4,17,21.1,1
2021-12-21 00:38:53,3.6,37.1,23.4,18.9,3.6,23.5,20.5,18.3,18,21.1,1
2021-12-21 00:44:29,3.6,36.7,23.5,18.8,3.6,23.5,20.5,18.2,19,21.1,1
2021-12-21 00:50:04,3.6,33.3,23.5,18.8,3.6,23.5,20.5,18.0,20,21.1,1
2021-12-21 00:55:39,3.5,34.7,23.6,18.8,3.6,23.5,20.5,17.9,-1,23.6,0
2021-12-21 01:01:14,3.5,34.6,23.6,18.8,3.6,23.5,20.5,23.6,0,23.6,0
2021-12-21 01:06:50,3.4,31.9,23.6,18.8,3.6,23.5,20.5,23.4,1,23.6,0
2021-12-21 01:12:25,3.4,30.6,23.5,18.8,3.6,23.6,20.6,23.2,2,23.6,0
2021-12-21 01:18:00,3.5,29.0,23.3,18.7,3.6,23.6,20.6,23.1,3,23.6,0
2021-12-21 01:23:35,3.5,27.7,23.2,18.7,3.6,23.6,20.6,22.9,4,23.6,0
2021-12-21 01:29:10,3.4,26.7,23.0,18.7,3.6,23.6,20.6,22.7,5,23.6,0
2021-12-21 01:34:46,3.4,26.2,22.9,18.7,3.6,23.6,20.6,22.6,6,23.6,0
2021-12-21 01:40:21,3.4,25.9,22.8,18.7,3.6,23.6,20.6,22.4,7,23.6,0
2021-12-21 01:45:56,3.4,25.6,22.7,18.6,3.6,23.6,20.6,22.3,8,23.6,0
2021-12-21 01:51:32,3.4,25.6,22.6,18.6,3.6,23.6,20.6,22.1,9,23.6,0
