Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,heat_off_slab_temp,Call
2022-01-26 17:48:05,6.2,27.1,24.6,18.5,6.2,22.5,19.5,24.8,0,24.8,0
2022-01-26 17:53:33,6.1,26.6,24.6,18.5,6.1,22.5,19.5,24.6,1,24.8,0
2022-01-26 17:59:02,6.1,26.5,24.9,18.5,6.1,22.6,19.6,24.4,2,24.8,0
2022-01-26 18:04:30,6.1,26.4,25.0,18.5,6.1,22.6,19.6,24.2,3,24.8,0
2022-01-26 18:09:58,6.1,26.4,25.1,18.5,6.1,22.6,19.6,24.1,4,24.8,0
2022-01-26 18:15:26,5.9,26.4,25.2,18.5,6.1,22.6,19.6,23.9,5,24.8,0
2022-01-26 18:20:54,5.9,26.4,25.2,18.5,6.0,22.6,19.6,23.8,6,24.8,0
2022-01-26 18:26:22,5.9,26.4,25.3,18.6,6.0,22.6,19.6,23.6,7,24.8,0
2022-01-26 18:31:51,5.8,26.4,25.3,18.6,6.0,22.6,19.6,23.4,8,24.8,0
2022-01-26 18:37:19,6.0,26.3,25.2,18.7,6.0,22.6,19.6,23.3,9,24.8,0
2022-01-26 18:42:47,6.0,26.1,25.1,18.6,6.0,22.6,19.6,23.1,10,24.8,0
2022-01-26 18:48:15,6.0,25.8,24.9,18.6,6.0,22.6,19.6,23.0,11,24.8,0
2022-01-26 18:53:43,6.0,25.7,24.8,18.7,6.0,22.6,19.6,22.8,12,24.8,0
2022-01-26 18:59:11,5.9,25.6,24.7,18.9,6.0,22.6,19.6,22.7,13,24.8,0
2022-01-26 19:04:39,6.0,25.4,24.6,18.8,6.0,22.6,19.6,22.6,14,24.8,0
2022-01-26 19:10:07,6.1,25.2,24.5,18.8,6.0,22.6,19.6,22.4,15,24.8,0
2022-01-26 19:15:35,6.1,25.3,24.6,18.9,6.0,22.6,19.6,22.3,16,24.8,0
2022-01-26 19:21:03,6.1,25.4,24.7,18.9,6.0,22.6,19.6,22.1,17,24.8,0
2022-01-26 19:26:31,6.1,25.6,24.7,18.9,6.0,22.6,19.6,22.0,18,24.8,0
2022-01-26 19:32:01,6.1,25.9,24.8,18.9,6.0,22.6,19.6,21.9,19,24.8,0
2022-01-26 19:37:29,6.1,26.0,24.7,18.9,6.0,22.6,19.6,21.7,20,24.8,0
2022-01-26 19:42:57,6.1,26.1,24.7,18.9,6.0,22.6,19.6,21.6,21,24.8,0
2022-01-26 19:48:25,6.2,26.2,24.7,18.9,6.0,22.6,19.6,21.5,22,24.8,0
2022-01-26 19:53:53,6.3,26.3,24.6,18.9,6.0,22.6,19.6,21.3,23,24.8,0
2022-01-26 19:59:22,6.4,26.1,24.5,18.9,6.1,22.6,19.6,21.2,24,24.8,0
2022-01-26 20:04:50,6.4,26.0,24.5,18.9,6.1,22.6,19.6,21.1,25,24.8,0
2022-01-26 20:10:18,6.4,25.8,24.5,18.9,6.1,22.6,19.6,21.0,26,24.8,0
2022-01-26 20:15:46,6.4,25.7,24.6,18.9,6.1,22.6,19.6,20.9,27,24.8,0
2022-01-26 20:21:14,6.4,25.7,24.5,18.9,6.1,22.6,19.6,20.8,28,24.8,0
2022-01-26 20:26:43,6.4,25.8,24.5,19.0,6.1,22.6,19.6,20.6,29,24.8,0
2022-01-26 20:32:11,6.4,25.9,24.5,18.8,6.1,22.5,19.5,20.5,30,24.8,0
2022-01-26 20:37:39,6.4,25.8,24.4,18.7,6.1,22.5,19.5,20.4,31,24.8,0
2022-01-26 20:43:07,6.4,25.7,24.4,18.6,6.1,22.5,19.5,20.3,32,24.8,0
2022-01-26 20:48:35,6.4,25.6,24.4,18.7,6.2,22.5,19.5,20.2,33,24.8,0
2022-01-26 20:54:03,6.5,25.7,24.6,18.7,6.2,22.5,19.5,20.1,34,24.8,0
2022-01-26 20:59:32,6.5,26.0,24.7,18.9,6.2,22.5,19.5,20.0,35,24.8,0
