Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,heat_off_slab_temp,Call
2021-12-20 19:00:14,4.0,21.1,20.4,21.7,4.0,23.4,20.4,20.4,0,20.4,0
2021-12-20 19:05:49,4.0,20.9,20.3,21.4,4.0,23.4,20.4,20.3,1,20.4,0
2021-12-20 19:11:24,3.9,20.7,20.1,21.0,4.0,23.4,20.4,20.1,2,20.4,0
2021-12-20 19:17:00,3.9,20.6,20.0,20.7,4.0,23.4,20.4,19.9,3,20.4,0
2021-12-20 19:22:35,3.9,20.4,19.9,21.0,4.0,23.4,20.4,19.8,4,20.4,0
2021-12-20 19:28:10,3.9,20.4,19.8,21.3,4.0,23.4,20.4,19.6,5,20.4,0
2021-12-20 19:33:45,3.9,20.3,19.7,21.6,4.0,23.4,20.4,19.4,6,20.4,0
2021-12-20 19:39:20,3.9,20.2,19.6,21.9,3.9,23.4,20.4,19.3,-1,20.4,1
2021-12-20 19:44:56,3.9,20.5,19.8,22.0,3.9,23.4,20.4,20.4,0,20.4,1
2021-12-20 19:50:31,4.0,22.1,20.8,22.1,3.9,23.4,20.4,20.3,1,20.4,1
2021-12-20 19:56:06,4.0,25.1,21.0,22.2,3.9,23.4,20.4,20.1,2,20.4,1
2021-12-20 20:01:41,3.9,33.6,21.6,22.4,3.9,23.4,20.4,19.9,3,20.4,1
2021-12-20 20:07:17,3.9,34.2,22.0,22.6,3.9,23.4,20.4,19.8,4,20.4,1
2021-12-20 20:12:52,3.9,31.8,21.7,22.4,3.9,23.4,20.4,19.6,5,20.4,1
2021-12-20 20:18:27,3.9,28.9,21.7,21.8,3.9,23.4,20.4,19.4,6,20.4,1
2021-12-20 20:24:02,3.9,29.3,22.0,21.8,3.9,23.4,20.4,19.3,-1,22.0,0
2021-12-20 20:29:37,3.9,31.9,22.1,21.9,3.9,23.4,20.4,22.0,0,22.0,0
2021-12-20 20:35:13,3.9,31.8,22.4,21.9,3.9,23.4,20.4,21.8,1,22.0,0
2021-12-20 20:40:48,3.9,30.9,22.4,21.8,3.9,23.4,20.4,21.6,2,22.0,0
2021-12-20 20:46:23,3.9,29.2,22.2,21.8,3.9,23.4,20.4,21.5,3,22.0,0
2021-12-20 20:51:58,3.8,27.7,22.0,21.6,3.9,23.4,20.4,21.3,4,22.0,0
2021-12-20 20:57:33,3.8,26.5,21.9,21.4,3.9,23.4,20.4,21.1,5,22.0,0
2021-12-20 21:03:09,3.8,25.5,21.7,21.7,3.9,23.4,20.4,21.0,6,22.0,0
2021-12-20 21:08:44,3.8,24.8,21.6,22.0,3.9,23.4,20.4,20.8,7,22.0,0
2021-12-20 21:14:19,3.8,24.3,21.5,22.0,3.9,23.4,20.4,20.7,8,22.0,0
2021-12-20 21:19:54,3.8,24.1,21.4,22.0,3.9,23.4,20.4,20.5,9,22.0,0
2021-12-20 21:25:30,3.8,24.0,21.3,21.9,3.9,23.4,20.4,20.4,-1,21.3,0
2021-12-20 21:31:05,3.8,23.9,21.3,21.8,3.9,23.4,20.4,21.3,0,21.3,0
2021-12-20 21:36:40,3.8,23.9,21.2,21.7,3.9,23.4,20.4,21.2,1,21.3,0
2021-12-20 21:42:15,3.8,23.9,21.2,21.7,3.9,23.4,20.4,21.0,2,21.3,0
2021-12-20 21:47:50,3.8,24.1,21.1,21.5,3.9,23.4,20.4,20.8,3,21.3,0
2021-12-20 21:53:26,3.8,24.3,21.1,21.3,3.9,23.4,20.4,20.7,4,21.3,0
2021-12-20 21:59:01,3.7,24.3,21.1,21.0,3.9,23.5,20.5,20.5,5,21.3,0
2021-12-20 22:04:36,3.7,24.5,21.1,20.9,3.9,23.5,20.5,20.3,6,21.3,0
