Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,heat_off_slab_temp,Call
2022-01-27 17:52:15,6.7,25.1,22.8,18.0,6.7,22.3,19.3,22.8,0,22.8,0
2022-01-27 17:57:30,6.8,24.8,22.8,18.0,6.7,22.3,19.3,22.6,1,22.8,0
2022-01-27 18:02:54,7.0,24.5,22.8,18.1,6.8,22.3,19.3,22.5,2,22.8,0
2022-01-27 18:08:08,7.1,24.3,22.8,18.3,6.9,22.2,19.2,22.3,3,22.8,0
2022-01-27 18:13:23,7.1,24.2,22.8,18.3,6.9,22.2,19.2,22.1,4,22.8,0
2022-01-27 18:18:37,7.1,24.0,22.8,18.4,7.0,22.2,19.2,22.0,5,22.8,0
2022-01-27 18:23:51,7.1,23.8,22.7,18.6,7.0,22.2,19.2,21.8,6,22.8,0
2022-01-27 18:29:05,7.1,23.6,22.6,18.6,7.0,22.2,19.2,21.7,7,22.8,0
2022-01-27 18:34:19,7.1,23.4,22.5,18.8,7.0,22.2,19.2,21.5,8,22.8,0
2022-01-27 18:39:34,7.1,23.2,22.4,18.9,7.0,22.2,19.2,21.4,9,22.8,0
2022-01-27 18:44:48,7.1,23.1,22.3,19.6,7.0,22.2,19.2,21.2,10,22.8,0
2022-01-27 18:50:02,7.1,22.9,22.3,20.5,7.0,22.2,19.2,21.0,11,22.8,0
2022-01-27 18:55:16,7.0,22.8,22.2,21.6,7.0,22.2,19.2,20.9,12,22.8,0
2022-01-27 19:00:30,6.8,22.8,22.2,22.7,7.0,22.2,19.2,20.8,13,22.8,0
2022-01-27 19:05:45,6.8,22.8,22.2,23.5,7.0,22.2,19.2,20.6,14,22.8,0
2022-01-27 19:10:59,6.8,22.7,22.1,24.0,7.0,22.2,19.2,20.5,15,22.8,0
2022-01-27 19:16:13,6.6,22.7,22.0,24.3,7.0,22.2,19.2,20.3,16,22.8,0
2022-01-27 19:21:27,6.5,22.9,21.9,24.5,7.0,22.2,19.2,20.2,17,22.8,0
2022-01-27 19:26:41,6.3,23.3,21.9,24.5,6.9,22.2,19.2,20.1,18,22.8,0
2022-01-27 19:31:55,6.5,23.6,21.9,24.5,6.9,22.2,19.2,19.9,19,22.8,0
2022-01-27 19:37:09,6.4,23.7,21.8,24.3,6.9,22.3,19.3,19.8,20,22.8,0
2022-01-27 19:42:24,6.4,23.7,21.7,24.0,6.9,22.3,19.3,19.7,21,22.8,0
2022-01-27 19:47:38,6.4,23.7,21.7,23.8,6.8,22.3,19.3,19.5,22,22.8,0
2022-01-27 19:52:52,6.4,23.7,21.6,23.7,6.8,22.3,19.3,19.4,23,22.8,0
2022-01-27 19:58:06,6.4,23.6,21.5,23.6,6.8,22.3,19.3,19.3,24,22.8,0
2022-01-27 20:03:20,6.5,23.7,21.5,23.9,6.8,22.3,19.3,19.2,-1,22.8,1
2022-01-27 20:08:35,6.6,25.8,21.4,24.1,6.8,22.3,19.3,22.8,0,22.8,1
2022-01-27 20:13:49,6.4,34.3,19.2,24.1,6.8,22.3,19.3,22.6,1,22.8,1
2022-01-27 20:19:03,6.4,29.4,18.5,23.7,6.8,22.3,19.3,22.5,2,22.8,1
2022-01-27 20:24:17,6.2,27.4,18.4,23.1,6.7,22.3,19.3,22.3,3,22.8,1
2022-01-27 20:29:31,6.1,27.3,18.6,23.0,6.7,22.3,19.3,22.1,4,22.8,1
2022-01-27 20:34:45,6.1,27.7,18.7,22.9,6.7,22.3,19.3,22.0,5,22.8,1
2022-01-27 20:39:59,6.0,34.4,18.9,23.3,6.7,22.3,19.3,21.8,6,22.8,1
2022-01-27 20:45:14,6.2,35.4,19.1,23.9,6.7,22.3,19.3,21.7,7,22.8,1
2022-01-27 20:50:28,6.1,32.9,19.2,24.3,6.6,22.3,19.3,21.5,8,22.8,1
2022-01-27 20:55:42,6.0,29.1,19.1,24.5,6.6,22.4,19.4,21.4,9,22.8,1
2022-01-27 21:00:56,5.9,31.4,19.3,24.5,6.6,22.4,19.4,21.2,10,22.8,1
2022-01-27 21:06:13,5.8,26.9,19.3,24.3,6.6,22.4,19.4,21.0,11,22.8,1
2022-01-27 21:11:27,5.8,33.4,19.4,24.1,6.6,22.4,19.4,20.9,12,22.8,1
2022-01-27 21:16:41,5.8,38.0,19.7,23.9,6.5,22.4,19.4,20.8,13,22.8,1
2022-01-27 21:21:55,5.8,37.7,19.8,23.7,6.5,22.4,19.4,20.6,14,22.8,1
2022-01-27 21:27:09,5.7,31.4,19.8,23.5,6.5,22.4,19.4,20.5,15,22.8,1
2022-01-27 21:32:23,5.8,31.2,19.8,23.3,6.5,22.4,19.4,20.3,16,22.8,1
2022-01-27 21:37:37,5.8,31.4,19.9,23.0,6.5,22.4,19.4,20.2,17,22.8,1
2022-01-27 21:42:52,5.8,32.1,19.8,22.8,6.5,22.4,19.4,20.1,18,22.8,1
2022-01-27 21:48:06,5.8,38.1,20.0,22.6,6.4,22.4,19.4,19.9,19,22.8,1
2022-01-27 21:53:20,5.8,40.0,20.2,22.4,6.4,22.4,19.4,19.8,20,22.8,1
2022-01-27 21:58:34,5.8,40.5,20.4,22.2,6.4,22.4,19.4,19.7,21,22.8,1
2022-01-27 22:03:48,5.9,40.1,20.5,22.1,6.4,22.4,19.4,19.5,22,22.8,1
2022-01-27 22:09:03,5.9,36.0,20.6,22.0,6.4,22.4,19.4,19.4,23,22.8,1
