DateTime,Temp1,Temp2
20210101_033310,21.9,21.9
20210101_033410,21.9,21.9
20210101_033511,21.9,21.9
20210101_033611,21.9,21.9
20210101_033711,21.9,21.9
20210101_033812,21.9,21.9
20210101_033912,21.9,21.9
20210101_034012,21.8,21.9
20210101_034113,21.8,21.9
20210101_034213,21.8,21.8
20210101_034313,21.8,21.8
20210101_034414,21.7,21.8
20210101_034514,21.7,21.8
20210101_034614,21.7,21.8
20210101_034715,21.7,21.7
20210101_034815,21.7,21.7
20210101_034915,21.7,21.7
20210101_035016,21.7,21.7
20210101_035116,21.7,21.7
20210101_035216,21.7,21.7
20210101_035317,21.7,21.7
20210101_035417,21.6,21.7
20210101_035517,21.6,21.7
20210101_035618,21.6,21.7
20210101_035718,21.6,21.6
20210101_035818,21.6,21.6
20210101_035919,21.6,21.6
20210101_040019,21.6,21.6
20210101_040119,21.6,21.6
20210101_040220,21.6,21.6
20210101_040320,21.6,21.6
20210101_040420,21.5,21.6
20210101_040521,21.5,21.6
20210101_040621,21.5,21.6
20210101_040721,21.5,21.6
20210101_040822,21.5,21.5
20210101_040922,21.4,21.5
20210101_041022,21.4,21.5
20210101_041123,21.4,21.5
20210101_041223,21.4,21.5
20210101_041323,21.4,21.5
20210101_041424,21.4,21.5
20210101_041524,21.4,21.4
20210101_041624,21.4,21.4
20210101_041725,21.4,21.4
20210101_041825,21.4,21.4
20210101_041925,21.3,21.4
20210101_042026,21.3,21.4
20210101_042126,21.3,21.4
20210101_042226,21.3,21.4
20210101_042327,21.3,21.4
20210101_042427,21.3,21.4
20210101_042527,21.3,21.4
20210101_042628,21.3,21.4
20210101_042728,21.3,21.4
20210101_042828,21.3,21.3
20210101_042929,21.3,21.3
20210101_043029,21.3,21.3
20210101_043129,21.3,21.3
20210101_043230,21.2,21.3
20210101_043330,21.2,21.3
20210101_043430,21.2,21.3
20210101_043531,21.2,21.3
20210101_043631,21.2,21.3
20210101_043731,21.2,21.3
20210101_043832,21.2,21.3
20210101_043932,21.1,21.3
20210101_044032,21.1,21.3
20210101_044133,21.1,21.2
20210101_044233,21.1,21.2
20210101_044333,21.1,21.2
20210101_044434,21.1,21.2
20210101_044534,21.1,21.2
20210101_044634,21.1,21.2
20210101_044735,21.1,21.1
20210101_044835,21.1,21.1
20210101_044935,21.0,21.1
20210101_045036,21.1,23.9
20210101_045136,21.8,28.8
20210101_045236,22.3,31.3
20210101_045337,22.6,32.3
20210101_045437,22.8,32.8
20210101_045537,22.9,32.8
20210101_045638,23.1,32.6
20210101_045738,23.1,32.4
20210101_045838,23.2,32.1
20210101_045939,23.2,31.7
20210101_050039,23.2,31.4
20210101_050139,23.3,31.1
20210101_050240,23.3,30.8
20210101_050340,23.3,30.4
20210101_050440,23.3,30.1
20210101_050541,23.3,29.9
20210101_050641,23.0,31.7
20210101_050741,23.1,33.8
20210101_050842,23.2,34.9
20210101_050942,23.3,35.4
20210101_051042,23.4,35.3
20210101_051143,23.4,35.1
20210101_051243,23.5,34.8
20210101_051343,23.6,34.4
20210101_051444,23.6,34.0
20210101_051544,23.7,33.6
20210101_051645,23.8,33.2
20210101_051745,23.6,33.3
20210101_051845,23.4,34.4
20210101_051945,23.4,33.8
20210101_052046,23.4,33.1
20210101_052146,23.5,32.6
20210101_052246,23.5,32.2
20210101_052347,23.6,31.8
20210101_052447,23.6,31.5
20210101_052547,23.6,31.1
20210101_052648,23.6,30.8
20210101_052748,23.7,30.5
20210101_052848,23.7,30.3
20210101_052949,23.7,30.0
20210101_053049,23.4,30.8
20210101_053149,23.4,30.6
20210101_053250,23.5,29.9
20210101_053350,23.6,29.4
20210101_053450,23.6,29.0
20210101_053551,23.6,28.8
20210101_053651,23.6,28.5
20210101_053751,23.6,28.3
20210101_053852,23.6,28.1
20210101_053952,23.5,27.9
20210101_054052,23.5,27.7
20210101_054153,23.5,27.5
20210101_054253,23.5,27.3
20210101_054353,23.5,27.2
20210101_054454,23.5,27.0
20210101_054554,23.4,27.6
20210101_054654,23.3,29.6
20210101_054755,23.4,30.1
20210101_054855,23.6,30.2
20210101_054955,23.6,30.1
20210101_055055,23.6,29.9
20210101_055156,23.7,29.8
20210101_055256,23.7,29.6
20210101_055356,23.7,29.3
20210101_055457,23.7,29.1
20210101_055557,23.7,28.9
20210101_055657,23.7,28.6
20210101_055758,23.7,28.5
20210101_055858,23.6,29.3
20210101_055958,23.5,32.7
20210101_060059,23.7,35.6
20210101_060159,23.9,36.9
20210101_060259,24.0,37.4
20210101_060400,24.1,37.4
20210101_060500,24.2,37.2
20210101_060600,24.2,36.8
20210101_060701,24.2,34.8
20210101_060801,24.2,32.5
20210101_060901,24.3,31.4
20210101_061002,24.3,30.8
20210101_061102,24.3,30.3
20210101_061202,24.3,29.9
20210101_061303,24.2,30.4
20210101_061403,24.2,32.7
20210101_061503,24.4,34.3
20210101_061604,24.6,34.7
20210101_061704,24.7,34.7
20210101_061804,24.8,34.5
20210101_061905,24.8,34.2
20210101_062005,24.8,33.8
20210101_062105,24.8,33.5
20210101_062206,24.7,33.3
20210101_062306,24.9,36.1
20210101_062406,25.3,37.3
20210101_062507,25.5,37.7
20210101_062607,25.7,37.7
20210101_062707,25.8,37.4
20210101_062808,25.9,37.0
20210101_062908,25.8,36.9
20210101_063008,26.1,36.6
20210101_063109,26.4,35.5
20210101_063209,26.6,34.7
20210101_063309,26.7,34.1
20210101_063410,26.7,33.6
20210101_063510,26.7,33.2
20210101_063610,26.7,33.3
20210101_063711,27.4,34.7
20210101_063811,28.1,35.5
20210101_063911,28.4,35.8
20210101_064012,28.6,35.7
20210101_064112,28.6,35.4
20210101_064212,28.6,35.1
20210101_064313,28.6,34.9
20210101_064413,28.4,34.8
20210101_064513,28.4,32.8
20210101_064614,28.4,31.3
20210101_064714,28.4,30.3
20210101_064814,28.3,29.7
20210101_064915,28.1,29.3
20210101_065015,27.9,29.9
20210101_065115,27.6,31.8
20210101_065216,27.6,32.0
20210101_065316,27.5,31.9
20210101_065416,27.4,31.6
20210101_065517,27.4,31.4
20210101_065617,27.3,31.4
20210101_065717,27.2,32.7
20210101_065818,27.3,34.9
20210101_065918,27.4,35.8
20210101_070018,27.4,36.1
20210101_070119,27.4,36.1
20210101_070219,27.4,35.8
20210101_070319,27.4,35.4
20210101_070420,27.3,35.1
20210101_070520,27.1,35.1
20210101_070620,27.1,34.9
20210101_070721,27.0,34.6
20210101_070821,27.0,34.3
20210101_070921,26.9,33.9
20210101_071022,26.9,33.6
20210101_071122,26.8,33.3
20210101_071222,26.7,32.9
20210101_071323,26.7,32.6
20210101_071423,26.6,32.3
20210101_071523,26.3,31.9
20210101_071624,26.3,31.3
20210101_071724,26.2,30.8
20210101_071824,26.2,30.4
20210101_071925,26.1,30.1
20210101_072025,26.1,29.8
20210101_072125,25.9,29.6
20210101_072226,25.9,30.4
20210101_072326,25.9,32.9
20210101_072426,26.1,33.9
20210101_072527,26.1,34.3
20210101_072627,26.2,34.3
20210101_072727,26.2,34.1
20210101_072828,26.2,33.9
20210101_072928,26.2,33.6
20210101_073028,26.2,33.3
20210101_073129,26.0,33.1
20210101_073229,26.0,33.9
20210101_073329,26.1,35.3
20210101_073430,26.3,35.9
20210101_073530,26.3,36.0
20210101_073630,26.3,35.9
20210101_073731,26.3,35.6
20210101_073831,26.3,35.3
20210101_073931,26.2,35.1
20210101_074032,26.3,34.9
20210101_074132,26.5,34.1
20210101_074232,26.6,33.4
20210101_074333,26.6,32.9
20210101_074433,26.6,32.6
20210101_074533,26.6,32.2
20210101_074634,26.6,31.9
20210101_074734,26.5,31.6
20210101_074834,26.4,31.3
20210101_074935,26.4,31.0
20210101_075035,26.4,30.8
20210101_075135,26.3,30.5
20210101_075236,26.3,30.3
20210101_075336,26.2,30.0
20210101_075437,26.1,29.8
20210101_075537,26.1,29.6
20210101_075637,26.1,29.4
20210101_075738,26.0,29.2
20210101_075838,25.9,29.0
20210101_075938,25.9,28.8
20210101_080038,25.8,28.6
20210101_080139,25.8,28.4
20210101_080239,25.7,28.3
20210101_080339,25.6,28.1
20210101_080440,25.6,27.9
20210101_080540,25.6,27.8
20210101_080640,25.5,27.6
20210101_080741,25.4,27.5
20210101_080841,25.4,27.4
20210101_080941,25.3,27.2
20210101_081042,25.3,27.1
20210101_081142,25.2,26.9
20210101_081242,25.2,26.8
20210101_081343,25.1,26.7
20210101_081443,25.1,26.6
20210101_081543,25.0,26.5
20210101_081644,24.9,26.4
20210101_081744,24.9,26.3
20210101_081844,24.9,26.2
20210101_081945,24.8,26.1
20210101_082045,24.8,25.9
20210101_082145,24.8,25.9
20210101_082246,24.7,25.8
20210101_082346,24.6,25.7
20210101_082446,24.6,25.6
20210101_082547,24.6,25.5
20210101_082647,24.5,25.4
20210101_082747,24.4,25.4
20210101_082847,24.4,25.3
20210101_082948,24.4,25.2
20210101_083048,24.3,25.1
20210101_083148,24.2,25.0
20210101_083249,24.2,24.9
20210101_083349,24.2,24.9
20210101_083449,24.1,24.8
20210101_083550,24.1,24.8
20210101_083650,24.1,24.7
20210101_083750,24.1,24.6
20210101_083851,24.0,24.6
20210101_083951,23.9,24.5
20210101_084051,23.9,24.4
20210101_084152,23.9,24.4
20210101_084252,23.8,24.3
20210101_084352,23.8,24.2
